"","X","location","Year","AGOC3A","Arsenic","Chlorodinine","Methylosmoline","waterway"
"1",1,"Achara",2009,0,8,0,0,"Waterway 2"
"2",2,"Achara",2010,0,12,0,0,"Waterway 2"
"3",3,"Achara",2011,0,18,0,0,"Waterway 2"
"4",4,"Achara",2012,0,12,0,0,"Waterway 2"
"5",5,"Achara",2013,0,12,0,0,"Waterway 2"
"6",6,"Boonsri",1998,0,21,0,0,"Waterway 1"
"7",7,"Boonsri",2004,0,1,0,0,"Waterway 1"
"8",8,"Boonsri",2008,0,6,0,0,"Waterway 1"
"9",9,"Boonsri",2010,0,9,0,0,"Waterway 1"
"10",10,"Boonsri",2012,0,32,0,0,"Waterway 1"
"11",11,"Boonsri",2013,0,36,0,0,"Waterway 1"
"12",12,"Boonsri",2014,28,32,28,28,"Waterway 1"
"13",13,"Boonsri",2015,35,0,35,35,"Waterway 1"
"14",14,"Boonsri",2016,28,0,28,28,"Waterway 1"
"15",15,"Busarakhan",1998,0,3,0,0,"Waterway 1"
"16",16,"Busarakhan",2004,0,1,0,0,"Waterway 1"
"17",17,"Busarakhan",2008,0,8,0,0,"Waterway 1"
"18",18,"Busarakhan",2009,0,8,0,0,"Waterway 1"
"19",19,"Busarakhan",2010,0,12,0,0,"Waterway 1"
"20",20,"Busarakhan",2011,0,12,0,0,"Waterway 1"
"21",21,"Busarakhan",2012,0,2,0,0,"Waterway 1"
"22",22,"Busarakhan",2014,10,5,10,10,"Waterway 1"
"23",23,"Busarakhan",2015,9,0,9,9,"Waterway 1"
"24",24,"Busarakhan",2016,12,1,12,12,"Waterway 1"
"25",25,"Chai",1998,0,36,0,0,"Waterway 1"
"26",26,"Chai",2004,0,1,0,0,"Waterway 1"
"27",27,"Chai",2008,0,22,0,0,"Waterway 1"
"28",28,"Chai",2009,0,27,0,0,"Waterway 1"
"29",29,"Chai",2010,0,36,0,0,"Waterway 1"
"30",30,"Chai",2011,0,30,0,0,"Waterway 1"
"31",31,"Chai",2012,0,6,0,0,"Waterway 1"
"32",32,"Chai",2013,0,3,0,0,"Waterway 1"
"33",33,"Chai",2014,45,9,45,45,"Waterway 1"
"34",34,"Chai",2015,27,0,27,27,"Waterway 1"
"35",35,"Chai",2016,32,0,32,32,"Waterway 1"
"36",36,"Decha",2009,0,3,0,0,"Waterway 4"
"37",37,"Decha",2011,0,3,0,0,"Waterway 4"
"38",38,"Decha",2014,0,7,0,0,"Waterway 4"
"39",39,"Decha",2015,0,5,0,0,"Waterway 4"
"40",40,"Decha",2016,0,3,0,0,"Waterway 4"
"41",41,"Kannika",1998,0,36,0,0,"Waterway 1"
"42",42,"Kannika",2008,0,19,0,0,"Waterway 1"
"43",43,"Kannika",2009,0,27,0,0,"Waterway 1"
"44",44,"Kannika",2010,0,36,0,0,"Waterway 1"
"45",45,"Kannika",2011,0,36,0,0,"Waterway 1"
"46",46,"Kannika",2012,0,9,0,0,"Waterway 1"
"47",47,"Kannika",2014,32,21,32,32,"Waterway 1"
"48",48,"Kannika",2015,27,12,27,27,"Waterway 1"
"49",49,"Kannika",2016,33,36,33,33,"Waterway 1"
"50",50,"Kohsoom",1998,0,6,0,0,"Waterway 1"
"51",51,"Kohsoom",2004,0,1,0,0,"Waterway 1"
"52",52,"Kohsoom",2008,0,1,0,0,"Waterway 1"
"53",53,"Kohsoom",2010,0,12,0,0,"Waterway 1"
"54",54,"Kohsoom",2011,0,10,0,0,"Waterway 1"
"55",55,"Kohsoom",2012,0,11,0,0,"Waterway 1"
"56",56,"Kohsoom",2013,0,12,0,0,"Waterway 1"
"57",57,"Kohsoom",2014,10,12,10,10,"Waterway 1"
"58",58,"Kohsoom",2015,11,0,11,11,"Waterway 1"
"59",59,"Kohsoom",2016,11,0,11,11,"Waterway 1"
"60",60,"Sakda",1998,0,12,0,0,"Waterway 2"
"61",61,"Sakda",2004,0,1,0,0,"Waterway 2"
"62",62,"Sakda",2008,0,22,0,0,"Waterway 2"
"63",63,"Sakda",2009,0,24,0,0,"Waterway 2"
"64",64,"Sakda",2010,0,36,0,0,"Waterway 2"
"65",65,"Sakda",2011,0,33,0,0,"Waterway 2"
"66",66,"Sakda",2012,0,6,0,0,"Waterway 2"
"67",67,"Sakda",2014,33,18,33,33,"Waterway 2"
"68",68,"Sakda",2015,27,12,27,27,"Waterway 2"
"69",69,"Sakda",2016,33,36,33,33,"Waterway 2"
"70",70,"Somchair",1998,0,6,0,0,"Waterway 2"
"71",71,"Somchair",2008,0,8,0,0,"Waterway 2"
"72",72,"Somchair",2009,0,9,0,0,"Waterway 2"
"73",73,"Somchair",2010,0,12,0,0,"Waterway 2"
"74",74,"Somchair",2011,0,12,0,0,"Waterway 2"
"75",75,"Somchair",2012,0,2,0,0,"Waterway 2"
"76",76,"Somchair",2014,10,5,10,10,"Waterway 2"
"77",77,"Somchair",2015,9,0,9,9,"Waterway 2"
"78",78,"Somchair",2016,12,0,12,12,"Waterway 2"
"79",79,"Tansanee",2011,0,1,0,0,"Waterway 3"
"80",80,"Tansanee",2015,0,10,0,0,"Waterway 3"
